world,scene,cond,M2_recall,M2_precision,M4,M6,M7_overlap,n_objects
world_1_6119eed,basketball_court,B2,0.8,0.8,0.0,1.0,1,10
world_1_6119eed,basketball_court,B2A1,0.8,0.8,0.0,1.0,1,10
world_1_6119eed,basketball_court,B2A2,0.6,0.684,0.0,1.0,18,19
world_2_3d54954,basketball_court,B2,0.8,0.8,0.0,1.0,1,10
world_2_3d54954,basketball_court,B2A1,0.8,0.8,0.0,1.0,1,10
world_2_3d54954,basketball_court,B2A2,0.8,0.5,0.0,1.0,5,16
world_3_be4bdd5,basketball_court,B2,0.8,0.846,0.0,1.0,4,13
world_3_be4bdd5,basketball_court,B2A1,0.8,0.846,0.0,1.0,4,13
world_3_be4bdd5,basketball_court,B2A2,1.0,0.8,0.0,1.0,17,20
world_1_a0d46c2,beach_sea,B2,1.0,0.714,0.0,1.0,2,7
world_1_a0d46c2,beach_sea,B2A1,1.0,0.714,0.0,1.0,2,7
world_1_a0d46c2,beach_sea,B2A2,1.0,0.286,0.0,1.0,0,14
world_2_6f99141,beach_sea,B2,1.0,0.7,0.0,1.0,2,10
world_2_6f99141,beach_sea,B2A1,1.0,0.7,0.0,1.0,2,10
world_2_6f99141,beach_sea,B2A2,0.8,0.455,0.0,1.0,2,11
world_3_4ce0586,beach_sea,B2,1.0,0.7,0.0,1.0,5,10
world_3_4ce0586,beach_sea,B2A1,1.0,0.7,0.0,1.0,5,10
world_3_4ce0586,beach_sea,B2A2,0.8,0.3,0.0,1.0,1,10
world_1_bede52b,living_room,B2,1.0,0.636,0.0,1.0,3,11
world_1_bede52b,living_room,B2A1,1.0,0.636,0.0,1.0,3,11
world_1_bede52b,living_room,B2A2,0.5,0.25,0.0,1.0,1,12
world_2_289914f,living_room,B2,1.0,0.462,0.0,1.0,5,13
world_2_289914f,living_room,B2A1,1.0,0.462,0.0,1.0,5,13
world_2_289914f,living_room,B2A2,0.333,0.167,0.0,1.0,1,12
world_3_7453d06,living_room,B2,0.833,0.545,0.0,1.0,5,11
world_3_7453d06,living_room,B2A1,0.833,0.545,0.0,1.0,5,11
world_3_7453d06,living_room,B2A2,0.5,0.25,0.0,1.0,1,12
